Dates,Adj Close,Close,High,Low,Open,Volume
2015-01-02,17832.990234375,17832.990234375,18008.30078125,17697.25,17837.2890625,2708700000
2015-01-05,17501.650390625,17501.650390625,17820.919921875,17446.7890625,17820.919921875,3799120000
2015-01-06,17371.640625,17371.640625,17638.919921875,17236.76953125,17504.1796875,4460110000
2015-01-07,17584.51953125,17584.51953125,17660.080078125,17396.099609375,17396.099609375,3805480000
2015-01-08,17907.869140625,17907.869140625,17956.83984375,17591.970703125,17591.970703125,3934010000
2015-01-09,17737.369140625,17737.369140625,17963.9296875,17666.130859375,17911.01953125,3364140000
2015-01-12,17640.83984375,17640.83984375,17814.4609375,17538.810546875,17742.05078125,3456460000
2015-01-13,17613.6796875,17613.6796875,17979.630859375,17488.029296875,17645.01953125,4107300000
2015-01-14,17427.08984375,17427.08984375,17609.060546875,17236.869140625,17609.060546875,4378680000
2015-01-15,17320.7109375,17320.7109375,17568.98046875,17252.189453125,17436.30078125,4276720000
2015-01-16,17511.5703125,17511.5703125,17561.849609375,17205.33984375,17320.0,4056410000
2015-01-20,17515.23046875,17515.23046875,17652.2109375,17313.55078125,17516.9609375,3944340000
2015-01-21,17554.279296875,17554.279296875,17648.0,17344.439453125,17509.9609375,3730070000
2015-01-22,17813.98046875,17813.98046875,17866.060546875,17453.400390625,17557.2890625,4176050000
2015-01-23,17672.599609375,17672.599609375,17887.380859375,17637.73046875,17812.5,3573560000
2015-01-26,17678.69921875,17678.69921875,17758.48046875,17505.41015625,17668.109375,3465760000
2015-01-27,17387.2109375,17387.2109375,17638.529296875,17240.849609375,17638.529296875,3329810000
2015-01-28,17191.369140625,17191.369140625,17579.44921875,17153.23046875,17402.91015625,4067530000
2015-01-29,17416.849609375,17416.849609375,17465.939453125,17068.939453125,17195.2890625,4127140000
2015-01-30,17164.94921875,17164.94921875,17488.900390625,17105.76953125,17416.849609375,4568650000
2015-02-02,17361.0390625,17361.0390625,17390.2890625,17005.91015625,17169.990234375,4008330000
2015-02-03,17666.400390625,17666.400390625,17705.369140625,17369.970703125,17369.970703125,4615900000
2015-02-04,17673.01953125,17673.01953125,17823.76953125,17534.1796875,17664.990234375,4141920000
2015-02-05,17884.880859375,17884.880859375,17929.189453125,17677.259765625,17677.259765625,3821990000
2015-02-06,17824.2890625,17824.2890625,18011.80078125,17730.619140625,17881.5390625,4232970000
2015-02-09,17729.2109375,17729.2109375,17858.380859375,17638.05078125,17821.490234375,3549540000
2015-02-10,17868.759765625,17868.759765625,17943.76953125,17697.359375,17736.150390625,3669850000
2015-02-11,17862.140625,17862.140625,17932.98046875,17710.140625,17867.859375,3596860000
2015-02-12,17972.380859375,17972.380859375,18046.099609375,17797.0,17862.140625,3788350000
2015-02-13,18019.349609375,18019.349609375,18106.279296875,17888.259765625,17972.380859375,3527450000
2015-02-17,18047.580078125,18047.580078125,18102.849609375,17904.0,18019.80078125,3361750000
2015-02-18,18029.849609375,18029.849609375,18111.76953125,17903.1796875,18045.720703125,3370020000
2015-02-19,17985.76953125,17985.76953125,18088.23046875,17855.080078125,18028.669921875,3247100000
2015-02-20,18140.439453125,18140.439453125,18168.919921875,17831.44921875,17985.76953125,3281600000
